,id,tweet,wildan,denise,angga,majority
0,4339,"Today bokap nyokap daftar vaksin di dkt rumah, trs kudu download app, trs isi trs disuruh print. Eh buang2 kertas kgk sih, kan udh di isi diaplikasi. Mending sekalian aja dr awal pake kertas. Kek dua kali kerja. Di indo kebiasaan bgt begini. Klu udh masuk kan datanya ada di apps",-1,-1,-1,-1
1,6274,"Saya sumbang kamu vaksin yaaa...  tapi nanti kamu jual sama rakyatmu, duitnya kita bagi dua.. gimana Deal??",-1,0,-1,-1
2,816,"""Vaksin berbayar itu tidak etis, di tengah pandemi yang sedang mengganas. Oleh karena itu, vaksin berbayar harus ditolak,"" ujar Ketua Harian YLKI Tulus Abadi - #Nasional  https://t.co/5QWxQbPezf",-1,-1,-1,-1
3,107,"kalo ada yg blng, ""biar seimbang sma yg udh vaksin dpt kopi"", dari foto aja dia udh gak sopan kok msh diliat positifnya tuh dr mana?? LEBIH BAIK KALO VAKSIN LAH!  https://t.co/22IBAL7sBW",1,0,0,0
4,1572,"Semoga selalu menjadi terang dunia, dan kita kalahkan covid secara bersama-sama dgn disiplin yg tinggi dan vaksinasi...  https://t.co/G7m2cUkBDZ",1,1,1,1
5,264,"halo min @DKIJakarta mau tanya kalo kuota penuh kira2 kapan available lagi ya? kebetulan saya bantu2 daftarin tetangga sekitar rumah yg blm vaksin, jadi ga bisa pilih yang jauh..  https://t.co/O9pXoSxscF",0,0,0,0
6,4218,Semoga Vaksin Anak Usia 12-17 tahun terus diperluas sampai diluar Jawa. Sehingga hak anak terkait kesehatan dasar bisa diberikan secara komprehensi oleh Pemerintah dan Pemerintah Daerah. Tentu kita apresiasi daerah dan semua tenaga nakes dan relawan yg sdh berjuang unk anak.,1,1,1,1
7,975,Rasanya pengen jadi konglomerat biar bisa ngeborong tabung oksigen trus dibagiin scr gratis ke org2 yg beneran butuh. Atau beli vaksin trus open vaksin massal kerjasama ama lembaga2 ttt. Ga kuat denger cerita pilu org2 apalagi bumil yg positif Covid ðŸ˜¥,0,1,1,1
8,6481,"Bismillah vaksin, sehat sehat sehat ðŸ’ª",0,0,0,0
9,6053,Tidur cepet bangun lambat efek vaksin semalam,0,0,0,0
10,5961,"Saya tidak setuju vaksin berbayar. Makin menyusahkan masyarakat khususnya yang berpenghasilan rendah.  Vaksin merupakan bentuk pelayanan Pemerintah terhadap warga negara, sehingga wajib gratis dan merata.",-1,-1,-1,-1
11,5616,jd vaksin tuh bayar apa gratis dah wkwk,0,0,0,0
12,6751,"Hadirnya Vaksin berbayar yang dijual langsung kepada rakyat sangat jelas dapat menggagalkan upaya penanganan Pandemi Covid 19, yang akan merugikan masyarakat dan rakyat Indonesia. Oleh karena itu semua orang berHak dan berkewajiban untuk berjuang agar Vaksin berbayar dibatalkanðŸ’ª",-1,-1,-1,-1
13,6415,"Kalo gamau bayar buat vaksin ya gaperlu repot. Jangan bayar, ikut vaksinasi massal, ada stasiun juga yang menyediakan vaksinasi gratis kalau mau bepergian ke luar kota. Minus nya vaksin gratis ya gabisa disaat kita butuh harus ada. Dosis yang disediakan per hari juga terbatas",1,1,1,1
14,6630,"3 juta Vaksin moderna dr AS landed Indonesia. Terimakasih pak Bidden. Pastinya gratis. Kalo gak percaya, tanya aja sm pak Bidden.",0,0,0,0
15,5106,"Jangan kan bayar vaksin, orang kesusahan aja beli hand sanitizer masih mikir 9x.",-1,-1,-1,-1
16,5655,Kalo harga dua suntikan vaksin KF IDR 879.140 kalo kita bayar 900k dikembalikan berapa? ðŸ¤”  Jadi kayak harga makanan resto. Biar ga rugi biasanya pembulatan ke atas,0,0,0,0
17,3274,Udah gitu nomer telfon yang tertera pada kartu vaksinasi gw salah lagi katanya. Ga bisa dihubungi.,0,0,0,0
18,3,"Awalnya Gratis, begitu masyarakat panik dan cemas dijuallah vaksin itu, hmmm siasat bisnis jitu di tengah pandemi katanya..ðŸ˜€â‰ï¸",-1,-1,-1,-1
19,5109,Banyak sekali orang yang sehabis vaksin justru sakit dan meninggal. Mau membuat sehat penduduk indonesia atau justru membunuhnya??. Kita sebagai orang kecil dibungkam ketika menuntut keadilannya. Entah harus bagaimana lagi mengkritik kinerja pemerintah.,-1,-1,-1,-1
20,77,"Gue dan bapak vaksin sinovac. Yes, it works. Vaksin terbaik adalah vaksin yang bisa kamu dapatkan sesegera mungkin.",1,1,1,1
21,3777,Kami sudah di vaksin  https://t.co/16PwEMhKSx,1,1,1,1
22,3655,"Teman2 sya di DKI masih berjibun yg nunggu di vaksin, gak mungkin sya di daerah mengambil jatah vaksin warga jakarta, wong di sana aja banyak yg belum di vaksin kok,",0,0,0,0
23,3338,Vaksin ke 2 berbahaya atau mematikan....kasih saran dong,0,0,0,0
24,4666,Penundaan vaksinasi belum tahu sampai kapan  https://t.co/wMuYhZ7Zfw,0,0,0,0
